specimen_id,qpcr_copy_per_ul
S.191104.00321,20500
S.191114.01139,4960
S.191114.00063,7620
S.191112.00005,9100
S.191105.00084,11700
S.191117.00096,3170
S.191114.00196,3630
S.191112.00213,8290
S.191107.00691,7390
S.191121.00191,6140
S.191114.00212,5380
S.191113.00033,67500
S.191104.00323,2300
S.191114.01141,1120
S.191114.00065,6210
S.191109.00051,2620
S.191105.00086,1010
S.191117.00098,1170
S.191111.00054,2130
S.191107.00693,4380
S.191121.00193,686
S.191114.00198,3750
S.191112.00001,1650
S.191109.00053,810
S.191104.00325,8540
S.191114.00214,13100
S.191112.00209,1830
S.191111.00056,1400
S.191105.00088,24400
S.191114.01143,2740
S.191113.00029,4010
S.191112.00003,3540
S.191117.00100,6610
S.191114.00061,8830
S.191112.00211,1470
S.191107.00695,4850
S.191121.00195,4850
S.191114.00194,11400
S.191109.00055,1530
S.191114.00210,4880
S.191113.00031,2120
S.191111.00058,2390
S.191108.00813,27300
S.191119.00056,3990
S.191119.00058,17900
S.191119.00076,14400
S.191108.00815,9180
S.191119.00072,6750
S.191119.00074,9800
S.191119.00282,26700
S.191108.00817,158000
S.191119.00278,5960
S.191119.00280,22000
S.191119.00339,6740
S.191119.00335,5930
S.191119.00337,13200
S.191121.00248,31900
S.191114.01204,22500
S.191121.00244,7240
S.191121.00246,13200
S.191116.00001,10300
S.191122.00137,4590
S.191123.00003,9210
S.191122.00141,57400
S.191114.01206,20800
S.191123.00001,25000
S.191123.00103,14800
S.191123.00005,59100
S.191116.00003,10300
S.191123.00101,16500
S.191124.00003,3760
S.191123.00105,42700
S.191114.01208,29300
S.191124.00001,5690
S.191124.00005,80900
S.191116.00005,5000
S.191116.00053,4500
S.191116.00055,7820
S.191122.00139,23200
S.191116.00051,6520
S.191117.00157,10200
S.191117.00153,3870
S.191117.00155,5170
S.191119.00060,6490
S.191122.00703,8660
S.191215.00045,10300
S.191213.00223,16200
S.191211.00005,31800
S.191123.00051,7300
S.191217.00686,16100
S.191214.00003,5750
S.191211.00636,21400
S.191125.00715,4360
S.191122.00705,10100
S.191215.00047,17000
S.191213.00225,722000
S.191123.00053,2540
S.191217.00688,10300
S.191214.00005,13200
S.191207.00001,9190
S.191125.00717,1950
S.191125.00719,15000
S.191208.00002,14500
S.191207.00003,8840
S.191207.00005,7530
S.191215.00049,8070
S.191210.00271,42400
S.191208.00004,7420
S.191208.00006,14500
S.191217.00690,58100
S.191210.00328,5560
S.191210.00273,26800
S.191210.00275,34800
S.191211.00001,19900
S.191210.00330,9820
S.191211.00632,19200
S.191211.00003,22800
S.191210.00332,12400
S.191213.00221,14100
S.191122.00707,12300
S.191214.00001,6390
S.191211.00634,6290
S.191123.00055,11700
